case_id,variant,status,selected_action,oracle_action,gross_recovered_subunits,natural_recovery_subunits,realized_action_cost_subunits,expected_value_subunits,realized_value_subunits,regret_subunits,guardrail_violation,latency_ms
case_syn_002000,rules,ACTION_READY,RETRY_LATER,STANDARD_PAYMENT_LINK,0,0,1300,,-1300,574773,0,0.008900000011635711
case_syn_002001,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,603944,0,1300,,602644,0,0,0.001799999836293864
case_syn_002002,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,689735,0,1300,,688435,0,0,0.0018999999156221747
case_syn_002003,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,98233,0,1300,,96933,0,0,0.0018000000636675395
case_syn_002004,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.0016999999843392288
case_syn_002005,rules,ACTION_READY,RETRY_LATER,ONE_BOUNDED_NUDGE,0,0,1300,,-1300,497228,0,0.0018000000636675395
case_syn_002006,rules,ACTION_READY,RETRY_LATER,ONE_BOUNDED_NUDGE,0,0,1300,,-1300,192345,0,0.0018000000636675395
case_syn_002007,rules,ACTION_READY,RETRY_LATER,NO_ACTION,583455,583455,1300,,-1300,1300,0,0.0027999999474559445
case_syn_002008,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.001799999836293864
case_syn_002009,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,271246,0,1300,,269946,0,0,0.0027000000955013093
case_syn_002010,rules,ACTION_READY,RETRY_LATER,NO_ACTION,398736,398736,1300,,-1300,1300,0,0.0014999998256826075
case_syn_002011,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,744014,0,1300,,742714,0,0,0.0016999999843392288
case_syn_002012,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.0015999999050109182
case_syn_002013,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,784505,0,1300,,783205,0,0,0.0016999999843392288
case_syn_002014,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,860872,0,1300,,859572,0,0,0.001500000053056283
case_syn_002015,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,877577,0,1300,,876277,0,0,0.0018000000636675395
case_syn_002016,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,166673,0,1300,,165373,0,0,0.0015999999050109182
case_syn_002017,rules,ACTION_READY,RETRY_LATER,NO_ACTION,258667,258667,1300,,-1300,1300,0,0.004600000011123484
case_syn_002018,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.0016999999843392288
case_syn_002019,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,138332,0,1300,,137032,0,0,0.0013999999737279722
case_syn_002020,rules,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,0,0,3800,,-3800,40961,0,0.002300000005561742
case_syn_002021,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,,-3800,3800,0,0.0018999999156221747
case_syn_002022,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,282779,3800,,-286579,286579,0,0.0018000000636675395
case_syn_002023,rules,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,115954,0,3800,,112154,0,0,0.0016000001323845936
case_syn_002024,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,,-3800,3800,0,0.002300000005561742
case_syn_002025,rules,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,811997,0,3800,,808197,2500,0,0.0016999999843392288
case_syn_002026,rules,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,227352,0,3800,,223552,0,0,0.0019000001429958502
case_syn_002027,rules,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,464967,0,3800,,461167,2500,0,0.0018999999156221747
case_syn_002028,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,,-3800,3800,0,0.001799999836293864
