case_id,variant,status,selected_action,oracle_action,gross_recovered_subunits,natural_recovery_subunits,realized_action_cost_subunits,expected_value_subunits,realized_value_subunits,regret_subunits,guardrail_violation,latency_ms
case_syn_002000,rules,ACTION_READY,RETRY_LATER,STANDARD_PAYMENT_LINK,0,0,1300,,-1300,574773,0,0.00850000014906982
case_syn_002001,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,603944,0,1300,,602644,0,0,0.002000000222324161
case_syn_002002,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,689735,0,1300,,688435,0,0,0.0027000000955013093
case_syn_002003,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,98233,0,1300,,96933,0,0,0.0016999997569655534
case_syn_002004,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.00199999976757681
case_syn_002005,rules,ACTION_READY,RETRY_LATER,ONE_BOUNDED_NUDGE,0,0,1300,,-1300,497228,0,0.0018999999156221747
case_syn_002006,rules,ACTION_READY,RETRY_LATER,ONE_BOUNDED_NUDGE,0,0,1300,,-1300,192345,0,0.0021999999262334313
case_syn_002007,rules,ACTION_READY,RETRY_LATER,NO_ACTION,583455,583455,1300,,-1300,1300,0,0.0027000000955013093
case_syn_002008,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.0018000000636675395
case_syn_002009,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,271246,0,1300,,269946,0,0,0.002100000074278796
case_syn_002010,rules,ACTION_READY,RETRY_LATER,NO_ACTION,398736,398736,1300,,-1300,1300,0,0.0016999997569655534
case_syn_002011,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,744014,0,1300,,742714,0,0,0.002100000074278796
case_syn_002012,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.0016999997569655534
case_syn_002013,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,784505,0,1300,,783205,0,0,0.001500000053056283
case_syn_002014,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,860872,0,1300,,859572,0,0,0.0038000002859917004
case_syn_002015,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,877577,0,1300,,876277,0,0,0.00199999976757681
case_syn_002016,rules,ACTION_READY,RETRY_LATER,RETRY_LATER,166673,0,1300,,165373,0,0,0.0018999999156221747
case_syn_002017,rules,ACTION_READY,RETRY_LATER,NO_ACTION,258667,258667,1300,,-1300,1300,0,0.0018000000636675395
case_syn_002018,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.0018000000636675395
